Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,AvgMonthlySpend,TotalServices,AvgRevenuePerMonth
0002-ORFBO,Female,-0.5677732238554163,Yes,0.0,Frazier Park,93225,-0.554852024428823,0.35167825852159373,0.07294460502979132,-0.9529936158621222,Offer B,Yes,1.2575322226593204,No,Yes,Cable,-0.6440739239359745,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,0.06422137036124592,-0.7444999614321612,0.0,0.0,-0.43633310249060664,-0.7192935621814479,Stayed,Competitor,Competitor had better devices,0.03840341922445462,0.23387113999671708,0.5632243864279417
0003-MKNFE,Male,-0.030432922848753225,No,0.0,Glendale,91206,-0.8242782862816157,0.7208071098345361,-0.6786996571864785,-0.9529936158621222,Offer B,Yes,-1.0916125309941782,Yes,Yes,Cable,-1.1429985747958538,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-2.1663671444894255,-0.7669618598913679,0.0,0.0,-0.7827478600718687,-0.8466723275203892,Stayed,Competitor,Competitor had better devices,-0.1489433008474006,-0.14945546903211193,-0.5656862457301555
0004-TLHLJ,Male,0.20838498870976369,No,0.0,Costa Mesa,92627,-1.0336321245380973,0.8513644312324073,-0.6786996571864785,-1.1567399515040244,Offer E,Yes,0.6098500413681033,No,Yes,Fiber Optic,0.5200835947370771,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.3302254604943005,-0.8823824795771346,0.0,0.0,-0.7361342514369418,-0.9147523342440771,Churned,Competitor,Competitor had better devices,0.18052375770725487,-0.5327820780609409,0.4392015390865669
0011-IGKFF,Male,1.880110369619382,Yes,0.0,Martinez,94553,0.7359998686732657,-1.094916600091735,-0.30287752607834356,-0.7899965473486005,Offer D,Yes,0.1778149021315136,No,Yes,Fiber Optic,-1.641923225655733,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.1025987824469037,-0.4600634849708314,0.0,0.0,-0.4604352158379184,-0.5010028461711425,Churned,Dissatisfaction,Product dissatisfaction,1.0089001998294147,0.6171977490255461,0.9736961960387012
0013-EXCHZ,Female,1.7009969359504944,Yes,0.0,Camarillo,93010,-0.7978151328537193,0.3141574650501985,0.4487667361379262,-1.1974892186324049,Offer B,Yes,-1.336901778142225,No,Yes,Fiber Optic,-1.0598444663192073,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.6507123160762937,-0.8883178928242137,0.0,0.0,-0.8726845621189914,-0.9587494273333319,Churned,Dissatisfaction,Network reliability,0.8072979147649375,-0.14945546903211193,0.23436525266976468
0013-MHZWF,Female,-1.4036359143102255,No,0.0,Midpines,95345,0.5606235026097532,-0.10030224221287326,-0.6786996571864785,-0.9529936158621222,Offer E,Yes,-0.6410510135742012,No,Yes,Cable,1.7673952218867752,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.18600637548240365,-0.7541422498670073,0.0,0.0,-0.7163061652424026,-0.8075009024127291,Stayed,Competitor,Competitor had better devices,-0.04201948516788382,0.6171977490255461,-0.21852447066384328
0013-SMEOE,Female,1.2233611128334605,Yes,0.0,Lompoc,93437,-0.5832813523640568,-0.36848795078802354,-0.30287752607834356,1.5734609460974645,Offer A,Yes,-1.1457095552896688,No,Yes,Fiber Optic,-0.8103821408892675,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,1.4775684034778356,2.4817832711874335,0.0,0.0,-0.04092488024616925,1.9491855187922957,Stayed,Competitor,Competitor had better devices,1.5425038007593086,1.7671775761120332,0.9248709000028819
0014-BMAQU,Male,0.32779394448902216,Yes,0.0,Napa,94558,0.9285391478085736,-1.1667171851785616,2.1399663261245334,1.247466809070421,Offer B,Yes,-0.9233930170890223,Yes,Yes,Fiber Optic,-1.3924609002257933,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,0.6747488302449431,1.3668743642667496,0.0,0.0,0.09181280394164565,1.111549494989217,Stayed,Competitor,Competitor had better devices,0.6823650472682419,-0.14945546903211193,0.2936221000667084
0015-UOCOJ,Female,1.2830655907230897,No,0.0,Simi Valley,93063,-0.7698791713276179,0.4971427030363774,-0.6786996571864785,-1.034492150118883,Offer E,Yes,-1.103469413031546,No,Yes,DSL,-0.22830338155274177,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,-0.4934257583514218,-0.8561254469971188,0.0,0.0,-0.8100676359063531,-0.915238045938097,Stayed,Competitor,Competitor had better devices,-0.5347050779473631,-0.5327820780609409,-0.8069873485167844
0016-QLJIS,Female,-0.2095463565176409,Yes,0.0,Sheridan,95681,1.129031833711826,-0.7373211105824558,0.4487667361379262,1.328965343327182,Offer B,Yes,0.22524243028098492,Yes,Yes,Cable,-0.8103821408892675,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.860631206482499,1.6228693995552723,0.0,0.0,1.3466040369582173,1.6683777674027627,Stayed,Competitor,Competitor had better devices,0.8909966262469414,2.150504185140862,0.8923312716759079
