Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,AvgMonthlySpend,TotalServices,AvgRevenuePerMonth
0002-ORFBO,Female,37.0,Yes,0.0,Frazier Park,93225,34.827662,-118.999073,2.0,9.0,Offer B,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0.0,381.51,974.81,Stayed,Competitor,Competitor had better devices,65.92222222222222,6,108.31222222222222
0003-MKNFE,Male,46.0,No,0.0,Glendale,91206,34.162515,-118.203869,0.0,9.0,Offer B,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,542.4,0.0,0.0,96.21,610.28,Stayed,Competitor,Competitor had better devices,60.266666666666666,5,67.80888888888889
0004-TLHLJ,Male,50.0,No,0.0,Costa Mesa,92627,33.645672,-117.922613,0.0,4.0,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0.0,134.6,415.45,Churned,Competitor,Competitor had better devices,70.2125,4,103.8625
0011-IGKFF,Male,78.0,Yes,0.0,Martinez,94553,38.014457,-122.115432,1.0,13.0,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0.0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,95.21923076923076,7,123.03923076923077
0013-EXCHZ,Female,75.0,Yes,0.0,Camarillo,93010,34.227846,-119.079903,3.0,3.0,Offer B,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0.0,22.14,289.54,Churned,Dissatisfaction,Network reliability,89.13333333333333,5,96.51333333333334
0013-MHZWF,Female,23.0,No,0.0,Midpines,95345,37.581496,-119.972762,0.0,9.0,Offer E,Yes,16.77,No,Yes,Cable,45.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0.0,150.93,722.38,Stayed,Competitor,Competitor had better devices,63.49444444444445,7,80.26444444444445
0013-SMEOE,Female,67.0,Yes,0.0,Lompoc,93437,34.757477,-120.550507,1.0,71.0,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0.0,707.16,8611.41,Stayed,Competitor,Competitor had better devices,111.3274647887324,10,121.2874647887324
0014-BMAQU,Male,52.0,Yes,0.0,Napa,94558,38.489789,-122.27011,7.5,63.0,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,0.0,816.48,6214.28,Stayed,Competitor,Competitor had better devices,85.36190476190477,5,98.63936507936508
0015-UOCOJ,Female,68.0,No,0.0,Simi Valley,93063,34.296813,-118.685703,0.0,7.0,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0.0,73.71,414.06,Stayed,Competitor,Competitor had better devices,48.621428571428574,4,59.151428571428575
0016-QLJIS,Female,43.0,Yes,0.0,Sheridan,95681,38.984756,-121.345074,3.0,65.0,Offer B,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0.0,1849.9,7807.8,Stayed,Competitor,Competitor had better devices,91.66,11,120.12
0017-DINOC,Male,47.0,No,0.0,Rancho Santa Fe,92091,32.99356,-117.207121,0.0,54.0,Offer B,No,25.420517214274486,No,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0.0,0.0,2460.55,Stayed,Competitor,Competitor had better devices,45.56574074074074,5,45.56574074074074
0017-IUDMW,Female,25.0,Yes,0.0,Sunnyvale,94086,37.378541,-122.020456,2.0,72.0,Offer B,Yes,16.01,Yes,Yes,Fiber Optic,45.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0.0,1152.72,9609.47,Stayed,Competitor,Competitor had better devices,117.45486111111111,11,133.4648611111111
